,0
105,"Econ 101 :

Since 2009 Facebook has been blocked in China. No global company wishes to be excluded from the vast Chinese Market of one billion Internet users.

In 2014 , Zuckerberg tried a charm offensive , addressing for 20 min in Mandarin an audience at Tsinghua, China's premier technology and business University. In July 2014, Bloomberg News reported that Facebook signed a three-year lease last spring to rent more than 8,600 square feet of office space in Beijing's central business district.

Charm does not get you anywhere in China. Deals do.

More generally:

The US population still needs to learn that in a global society, ""US Firms"" are global companies - not US ones.

Including firms bailed out by US tax payers. In 2017, GM
sold 4.04 million vehicles in China , a third more than the 3.002 million the company sold in the United States. To get such access, its cutting edge research is carried out jointly with China's automotive industry, handing over US knowledge to the PRC.

http://www.gmchina.com/media/cn/en/gm/news.detail.html/content/Pages/new..."
106,"Don't worry, I'm sure Zuckerberg is sorry."
107,"I have never had the urge to jump on the facebook or twitter bandwagons or any of the other similar sites. Joining a forum for BBQ is about as risky as I am willing to chance. Seems to me that social sites are full of busy bodies snooping into each others lives, bragging about their own adventures and piling on when the mood suits them. Users are making a hand full of people very VERY wealthy. And powerful. Both are attributes that can be misused."
108,"Ironically, it looks like the Chinese were right to ban Facebook in China afterall."
109,"Zuckerberg should be in prison.

ENOUGH!!!"
110,"I dream daily of awakening to find the infatuation with tech hipsterism dead. I work with the technology on a daily basis, and have for nearly 35 years as an aerospace software systems engineer. Yet I know my opinions are not popular, at least not with the business/marketing folks, nor the general public who eat the buzzword PR up and regurgitate it as supposedly ‘tech savvy’ truth. If you want to know where 'fake news' started, then look no further than the tech industry. Most people take everything the collective industry says as gospel, but never question the motives; those telling 'us' what to believe, are the very ones profiting hand over fist if we buy into their propaganda – yeah, slight conflict of interest, but people are so awed by the bells and whistles, the shiny, that they are complete suckers for it all. The tech industry is seen as progressive, trendy, hipster, with a whiff of libertarianism thrown in for an iconoclastic edge. Nonsense! The industry is closer to what the 'old' stereotypes would have held: the antithesis of progressive, hiding behind the bogus façade of ‘libertarianism,’ selfish and greedy beyond defense. They want your data, so they can sell you as product. They encourage the belief that hacking is cool, when in fact it is the realm of petty criminals and obtuse script kiddies. Please, stop buying into the lies – technology is nothing more than a tool, helpful but no panacea for humanity, and rife with problems."
111,Great post! Thank you!
112,"Infatuation indeed!
I know a couple of people that can't drive anywhere without help from their car's satnav. One got lost because his satnav couldn't accept ""Maccas"" as a destination in a nearby town (""Maccas"" is common Aussie abbreviation for MacDonalds)."
113,"There was a recent news report about teenagers leaving Facebook in droves. It is time for adults to do the same thing and delete the Facebook app from their devices. There is no need to breakup Facebook, just watch it vanish like MySpace."
114,Wonderful yet reckless technology. Any monetary fines as outcome should be given to FB users.
115,"Yes America, you can trust Facebook to guard your information and privacy because...it's so easy to use and Zuckerberg seems so nice and hip and it doesn't cost me any money and I just don't care about the privacy of my friends, parents, spouse or even my children.

We have become a nation of lazy fools."
116,Follow the money.
117,"Facebook should never have been trusted with private information. No one imagined Facebook would find mysterious revenue sources that we are only now finding out what they were. We never before wondered how Facebook growth was financed besides stock holders. In reality Facebook was not really free even though we all enjoyed being Facebookers for free. I should have stuck to my principle that nothing that is free is worth anything. Anyway since I did not place any private information and asked not to share information with anyone other than carefully selected friends, I am not too worried. But the federal government should worry and appoint a special prosecutor to find out about the collusion between Facebook and all those who were getting secret information."
118,"This is what is destroying our democracy - not Russia, not China, but the American system of law - one law for the rich, and another for the rest of schlubs. Why isn't Mark Zuckerberg doing a perpetrator walk for treason? Theft? Fraud?

I bet that any Democrat and any Republican can find one point of agreement: we are sick of the rich getting away with breaking any law they choose and facing no consequences. Pollution? Check. Insider trading? Check. Extortion for necessary to life medicines? Check. Violating labor laws, even to the point of killing workers? Check. Poisoning water? Check. Destroying the country's economy and getting bailed out instead of paying bail? Check. Tax evasion to the tune of billions? Check. When will we Republicans, Democrats, and Independents start working together - these people are destroying everything for ALL OF US."
119,"Yes, Barbara, and it's pathetic that when these kinds of things happen, the cost is on the backs of people like you and me, as if WE did something wrong. It's time for one set of real laws for everyone, term limits and recalls of ALL elected officials who do not abide by the will of the majority, and when I say majority, I do not mean those with the MAJORITY of the money."
120,Why don't we start with Trump who has done/does/or wishes he could many of these things and now is claiming that he is truly ABOVE the law?
121,Isn't aiding and abetting espionage a crime called sedition?
122,"Facebook MUST be broken up into smaller distinct entities.
Now."
123,"Revoke Facebook’s right to operate in the US as a US company. Label them a national security threat, and let them move to Ireland, or any other tax haven they wish. And ban all Chinese companies from operating in the US as well, as they are all tools of the communist dictatorship. And drastically cut down the number of Chinese students and workers in the US. Most of them are Xi supporters, and are collectively helping bring about a greater, imperial China."
124,"No, jail the executives and confiscate their assets."
125,"Do you know how much money they give to politicians? That will never happen, the law doesn't apply when it stops lawmakers from making money."
126,"I deleted my Facebook account in November, and it’s increasingly depressing to learn it didn’t protect me or my family."
127,I thought Trump wanted to help ZTE. That isn't mentioned in the article.
128,"He didn't really - just trying to avoid having the trade war spiral out of control.

I wish people could focus on the real issue in this case - tech giants importing foreign workers, violating our privacy in ways most people don't realize, and having no interest in supporting the country - all they care about is money and its time we clearly stated that."
129,"Ah, but Cambridge Analytica is the bad guy. Ahahahahahahahahaha. Hypocrite much, Facebook?"
130,"Maybe data mining isn't as harmless as it seems or is portrayed to us. It's time for the United States to get back into the business of making some of its own electronics/technical devices. It's long past time for OUR data and privacy to be protected. Businesses do not need as much data as they claim. In fact less data might produce some better products because we'd have less niche marketing and companies would be forced to appeal to a broader group. I'm tired of being told that I have to allow ""cookies"" or have a lesser experience on line. I'm tired of being asked irrelevant questions or for my email address just to access a site to check information.

If Congress cannot cooperate long enough to protect Americans privacy, data, and credit card numbers, or force companies to take privacy more seriously they don't deserve to be in office. Data sharing is not a benevolent activity. Nor is identity theft. It hurts real people all the time."
131,"The Senate voted last year to reverse net neutrality against millions of consumer complaints to NOT reverse it. It basically reduces online privacy. Pai really had no justification to do it. Trump really encouraged the vote. At the time Bannon was on the NSC and was working with Cambridge Analytica too.

Now the vote is coming next week to the Congress. Wonder what the GOP will do with it after the news of all the Facebook breaches which affect national security?"
132,"Users don't care about their data and most of us gave up (or had taken away) our privacy years ago in the name of ""security"". Facebook is a business and they're gonna do whatever it takes to make money, duh. And no one is going to do anything significant about it because the people in government, of any party, are there to protect the interests of business who in turn keep people sedated with social media and entertainment, big gas guzzling automobiles and and tokens of dividends. Huawei won't worry, Trump will work with Xi to make it all better."
133,What a depressingly accurate comment.
134,"While these ongoing disturbing revelations are the direct result from having an advertising based business model, and not the technology, it’s frighteningly overdue for Congress to insist on a third party algorithm audit. With the exception of Facebook, Google, Twitter, and the rest of the Silicon Valley ilk, every advertising/media vehicle used within the advertising industry:TV, Radio, newspapers, magazines, etc. are subjected to rigorous third party audits. Not until that rock is lifted, will we know all the slithering things being withheld and lied about by Facebook. It’s time for Congress to knock it off with the ineffectual hearings and sound bites, understand the gravity of the situation, take the action needed, and have a third party group, that understands the complexity of this issue, lift up the hood and dismantle if needed."
135,"I think that wider net has to be cast in Silicon Valley on those who profit off helping repressive regimes. Companies such as Cisco helped build an internet firewall in China to help the government control and censor data.

https://www.eff.org/deeplinks/2016/04/ciscos-latest-attempt-dodge-respon...

“Cisco custom-built the so-called “Great Firewall of China,” also known as the “Golden Shield.” This system enables the Chinese government to conduct Internet surveillance and censorship against its citizens. As if that weren’t bad enough, company documents also revealed that, as part of its marketing pitch to China and in an effort to meet its customers needs, Cisco built a special Falun Gong module into the Golden Shield that helped the Chinese authorities identify, locate, and ultimately persecute practitioners of that religion by, for example, creating profiles of them that could be used during interrogations and forced conversions (i.e., torture).”"
136,"Oh but wait, Trump wants to protect Chinese jobs so ZTE has been given a reprieve. I am sure that is what middle America elected Trump to do. To be hard on Canada and Europe but to embrace China. Not!"
137,"And to embrace Putin, Duterte and any other dictator he can find."
138,Trying to prevent a trade war from spiraling out of control isn't really support....measured pressure makes sense.
139,"...and we continue to support corporations and their big influence on politics with outsized donations ....
...and how many other companies do this? do we really think Netflix with its market research, Google, Amazon are all ""saints""?"
140,"And, according to FB officials, 'the data shared with Huawei stayed on its phone'. Which phone & who says? Oh, Facebook officials . . . . , that phrase joins 'the check is in the mail."
141,"If Facebook is free, then the product is YOU!"
142,"I attended a lecture on privacy given by a professor from the University of NC School of Law (who is undoubtedly one of the few people to ever read the FB privacy policy in toto) as Mr. Zuckerberg was testifying before Congress. In the Q&A afterwards I asked her if she could pose one question to Mark Zuckerberg, what would it be. She paused for a moment and then said, “What will your next business model be?” I’m ALMOST beginning to have hope that he may soon have to give that a tiny bit of thought."
143,"Whether this is a big deal or not, it's troubling how lucrative consumers have become as the product, and more troubling how all this big data can be used to disrupt the sovereignty of countries.
There is simply nothing humans won't monetize to make a buck."
144,"There is one thing I can think of that hasn't been monetized, and I'd estimate it's worth a (profane profanity tirade here) incomparable fortune.

Other than that, you're absolutely right."
145,"Vladimir Lenin is reputed to have said "" Capitalists will sell us the rope with which we will hang them."" True in 1918 and still true today in 2018
Good job there, Comrade Zuckerberg!"
146,".... sorry but too populist quote fro me-
in former eastern block communists sold people with everything and a rope
...Facebook is till not even on that planet"
147,And they will sell every inch of ground. Then they will realize that you can't eat money. Then what happens?
148,"OK, NYTimes editorial board--where is your instant opinion on this matter? Too busy chasing after Trump's Russian ghosts? So the four companies ""promised"" FB that they only saved the data on the devices, not the servers? Is there a BIG difference? I learned long ago not to put too much info on FB (I not only keep my birthdate confidential--I hope--but I lied about it anyway.) Not long ago, I deleted a lot of my personal info anyway. I will read and comment on my friends' posts on FB, but I seldom post anything on my personal site. I still get annoyed when some family members post photos of their children; I've warned them about the implications, but those family members are younger than me and don't fear the technology."
149,You can't fool Facebook as long as you use them at all.
150,"So after being implicated in Russian interference in the 2016 election, both as a provider of user data and a transmitter of fake news to its subscribers, making the apologies to Congress, Facebook has basically shared info on many millions of American and foreign users with the Chinese government. Now both communist powers can play with our democracy. Also great for recruitment of spies against America and whatever foreign nations other Facebook users live in. How much profit will Facebook reap for selling out the West? And if you believe that Facebook's 'safeguards' to keep data being moved to company and government servers is any better than their safeguards to prevent the author of the British survey transferring all the stolen data to Cambridge Analytics and the Trump campaign, then you are truly gullible. They never even checked how the data was used/shared in the Cambridge case. It's hard to imagine how they could possibly have prevented the data being moved to company/government servers. Surely the Chinese military has those capabilities. They are very adept at hacking, so that should be a piece of cake for them. Just another case of effectively, kind of treason for profit by Facebook."
151,"Notwithstanding all of his brilliance...either didn't know or didn't care about either national security, cyber security, nor users' security. All of those things have been ongoing for years, now, from hacked credit cards, years ago.

Bet the Chinese and the Russians now know plenty, and our national security is imperiled.

...Anything for money, Zuck! It was too good to be true.

That is why these companies need federal regulation to protect their clients.

Sooner rather than later!"
152,"You really think he's brilliant?

I'm not sold. He stole the idea from those blue-blood twins, paid them off after he made it what it is today.

Having no grasp at all of how the thing was built, I can see someone with moderate coding skill hiring much more capable people to build something and then appoint one's self head honcho while the talent continues to produce for great salaries, stock options, ridiculous retirements by the age of 40, and so on.

Then again, Steve Jobs is currently compared to Einstein in certain circles."
153,Stole the idea. Sure.
154,"This should be treated as a data breach, with credit monitoring offered to all impacted individuals. Let's hope that Trump's FTC is up to the enforcement task at hand."
155,"I doubt the credit agencies are capable of monitoring hundreds of millions or billions of accounts.

""Big data"" was a popular term not so long ago. The impression talk of it gave was, it's all under control.

I would bet it isn't."
156,"I'm sure the Chinese Communist Party ""likes"" Mr. Zuckerberg a whole bunch."
157,"Hey, maybe this could be the spark that joins California and China in a single, non United States entity.

I would find that hilarious."
158,"That's pretty much already happening. Huge swaths of the Bay Area are being purchased two Chinese real estate companies, constantly trying to outbid one another while no American company can even begin to compete (not that an American real estate company would necessarily have better intentions...They all have the same intention, which is simply to make money)."
159,"Where in the heck is Facebook’s sense of urgency?They’ll “wind it down” by the end of the week?!?

I am so glad I quit the platform!"
160,"Reminds me of when I would ask the kids if they washed their hands for dinner when they sat down at table. They would say yes, then run into the bathroom before I got a chance to inspect."
161,"I just deleted my Facebook membership, if you want to call it that, and I am happier now than I was before.
Zuckerberg is just like trump and his cohorts. Greedy. It's beyond greedy. This is unconscionable that he would sell our information to our enemies.
Apology definitely not accepted."
162,"Congratulations, and may others follow your example."
163,Is it me or is Facebook a national security threat?
164,"Facebook, our BFF. Two-faced-book would be more accurate. Peddling our personal data to foreign businesses, and by association, foreign governments shows Mark Zuckerberg's true allegiance: filling the coffers of Mark Zuckerberg."
165,"It's high time, if he hasn't done so already, to liquidate some of his net worth.

No one ever said that anything on the internet is guaranteed to survive. If I had to guess on internet thing that can't fail right now, it would be baseball-reference.

Some social media site? My hope is, eventually the people -- mostly young -- who use it constantly will get bored of it. There is some possibility that can happen.

It's not like anything new and groundbreaking happens on facebook."
166,"Again I ask this question, what real good has ever come from Fakebook?"
167,"Does Facebook take us as a bunch of blithering idiots? Yes, their side of the app may reside on the device. How much do you want to bet the “data sharing” agreement gives the Chinese access to the data structures and everything they need to build an app that transfers data from the device to their servers in the background?

The data can be used in conjunction with phishing attacks and password guessing to hack into unsuspecting accounts. Since FB collects data from other people’s accounts, FB put otherwise careful people and companies at risk.

This goes to show the fundamental fallacy of the Hobby Lobby decision: the best we can expect from for profit corporations is for them to be amoral.

So long as FB users think the service is free they will continue to be its product. Until FB implements a paid subscription option with zero data collection or ads, they simply cannot be trusted with user data. They have multi billion dollar incentives to monetize user data.

The next time American corporations request special treatment or protection, we MUST remember that modern multinationals have neither patriotic loyalty nor any moral imperative beyond “maximizing shareholder value” (thank you Milton Friedman)."
168,Time to distrust Zuckerberg.
169,Now with comrade Trump at the helm we might as well all throw up our hands and surrender.
170,"Why does this come as a surprise? As the world gets smaller and more connected, and American Capitalism is encouraged to spread its tentacles on a global scale, we can’t expect multinational organizations like Facebook, Microsoft, Exxon, Accenture, Google, Amazon, et. to have any loyalty to United Stated security interests. These companies are in it for the all mighty $ and how many $ they can deliver to their shareholders."
171,"No one should use Facebook. Aside from fraudulently selling our personal information, they are committing treason, as long as the price is right. Don't we have any laws in the country to punish this kind of activity?"
172,Is there anyone Facebook didn't give access to our information to?
173,NO. Noone.
174,"Greed. It is never enough. They just have to have more and they don’t care who they hurt.

Done with Facebook"
175,"Sorry, your privacy will matter to us by the end of the week."
176,"To protect your information, and to protest Zucerberg's egregious betrayal, closing Facebook accounts are worth considering. The promise that each member determines what is shared is a sham.

Nothing is safe with Facebook and, by Facebook's lack of integrity, participation is denied. How often has the public been assured, 'that it's being handled'?

The promise of the internet is reduced to pleas to buy, buy, buy."
177,"These headlines are hyperbolic and unnecessarily scaring/angering people! Stop already!

FB essentially gave other companies access to their programming APIs so that FB could be integrated with the software on the phones. Sharing API access for software integrations is common practice in almost all areas of the software industry. This is NOT as big of a deal as these non-tech savvy authors are making it out to be. Geesh!"
178,"why do the other companies need to know the list of my friends and my education level for this, Paul? Makes no sense."
179,"Paul

I am relieved there's one of your superior wisdom and seen-it-all tech savvy.

Could you please explain this quote ""...retrieve detailed information on both device users and all of their friends — including work and education history, relationship status and likes""?

And maybe a word or two on why this is a fine thing for users (and all of their friends)."
180,"We need a Teddy Roosevelt of our time to go after Facebook, Google, Amazon.

These companies have too much power, and are driven only by their financial interests.

Time to break up these monopolies.

Time to regulate them and lock them up."
181,I agree with Apple's Tim Cook when he said if they can't self-regulate then we need actual legislation to keep them in line.
182,"Nothing about this company seems straight or clean, and that includes Zuckerberg."
183,"After Cambridge Analytica broke, I deleted my FB account. My life is better for losing this insidious, time-wasting app, and I encourage you to do the same."
184,"Virtually every tech company that does business in China is being forced to give up secrets to them. And what they haven't forced the disclosure of ""legally"" they have stolen from our servers. This is the bigger story. Maybe the Times would care to look into it. To bash Facebook like this without context is disingenuous."
185,"Too big to fail or be fired? I think not.

Drop your Facebook account like I did four years ago!"
186,"What I find amazing is how little traction this seems to be getting with the American public. It seems absolutely incredible that most of America believes that anything our government does, any data our government collects and anything our government touches is evil incarnate. But private industry..... that is a different matter. But ya know, we can't get in the way of private business. And, heaven forbid, don't take away or regulate my Facebook/Twitter!!! How would we know what presidential/republican policy is?"
187,Now that we know that Mark Zuckerberg and Facebook collaborated and conspired with both China and Russia against the privacy interests and values of America and Americans what are we going to about it?
188,Facebook... giving data to Chinese firms flagged by the US gov't when the Chinese people don't even have the freedom to use Facebook.
189,"Of course they did! All Facebook account holders, you've been Zucked ....

It wasn't bad enough that the Russians were given the keys to influence/manipulate our elections?"
190,"Actually, it is not just Facebook account holders: anybody that has you as a contact in their phones could have leaked your information."
191,Told you so. Put down the Facebook. Get a life.
192,"Hardly surprising. Capitalism generates energy and is capable of an enormous economic good, but, think nuclear reactor, if you leave it unregulated it destroys everything."
193,"The USA goes to other countries and purchase companies, thinking they have the right to do it. Although, when foreign companies attempted to do the same, the USA claims it could harm national security?"
194,Does anyone really believe that Huawei did not build a device that loaded data like a phone or a blackberry and then sent it to their servers? Facebook executives need to stop trying to minimize their colossal blunders.
195,If they are indeed blunders.
196,"It's really up to us as social media consumers (or, rather, those of us consumed by social media) to shut FaceBook down.

At least for a time -- at least through the midterms.

We can still take pictures of the food we're eating, and send them around later."
197,"""Grampa, can you tell me about privacy? I don't understand the concept..."""
198,"And Facebook sold us out in 2016 by selling our data to Russia.
I thought Mark Zuckerberg was an American citizen. Silly me."
199,Zuck an American? Right.
200,"Soxared, that's an unfair low blow. There are plenty of American citizens who do far more harm to this country than Zuckerberg. You know who many of them are. Still, they are citizens."
201,"Well, there goes Zuckerberg as CEO."
202,I certainly hope so. And he must be replaced by someone who will sell us all down the river.
203,You wish...
204,"Hey Zuckerberg
time to roll out the apology bandwagon again. You've been crying wolf for so long, we no longer believe ANYTHING you utter.Disgusting !!!"
205,"It just keeps getting worse for FB. It's reported young people and adults are fleeing, deleting their accounts.

This is not Good."
206,This is Good. People can start doing more with their lives. People can start working in industries that do more than selling other people's information.
207,They're not joking FB because it is for old people and isn't hip. Privacy has nothing to do with it.
208,"Seriously, has Zuckerberg’s real project for this year been “work with foreign dictators to facilitate espionage”? Because that what this allows the Chinese to do. Vacuum up personal info on government employees and military personal.

Picture the worst case scenario and you better believe the Chinese took ten steps beyond that."
209,"No, in fact Facebook will continue to infiltrate, influence, spy other countries to benefit the interests of the USA government."
210,"Nothing is sacred in the market. Let’s not fool ourselves into thinking the world is still in 1960, when there we’re some kind of meaningful geographical boundaries that kept one set of circumstances locked away from the world. With the exception of North Korea, there is NOTHING stopping business (Facebook) from operating with trade allies (China.) Facebook is a global player, and China is a global player. What they chose to do in their meetings and dealings is just one of those things that, in the words of Jim Carrey, “things are just happening.” Mark Zuckerberg and his teams are not trading secrets that will bring down our nation. At worse they are exploiting the simplest side of first world populations to somehow gain more power, money, influence, and status. That’s all. This will all wash over. Nothing is sacred in the market..."
211,Money can be more powerful than the military. China's financial control and investment world-wide has given it tremendous power. An Apple a day keeps China in sway.
212,"The haven't taken ALL our dough, but they will keep trying."
